id,condition,title,buying_mode,price,original_price,sale_amount,sale_type,available_quantity,accepts_mercadopago,use_thumbnail_id,health,Seller_City,Seller_state
MLB4540520250,new,Kit 2 Tênis Para Academia Feminino Ortopédico + Relógio,buy_it_now,148.88,190.88,148.88,promotion,250,True,True,0.88,Franca,São Paulo
MLB5168985220,new,Calce Fácil Masculino Leve Confortável Elástico *oferta*,buy_it_now,116.39,119.99,116.39,promotion,500,True,True,0.9,Franca,São Paulo
MLB4936178874,new,Tênis Masculino Bountiful Skechers *oferta*,buy_it_now,210.99,299.99,210.99,promotion,1,True,True,0.88,Cajamar,São Paulo
MLB3692448155,new,Kit Tenis Feminino + Relogio + Meia Academia Corrida Treino,buy_it_now,68.99,78.4,68.99,promotion,250,True,True,0.66,Perdigão,Minas Gerais
MLB3754749247,new,Tênis Olympikus Casual Citrus 2 Color Preto/bronze - Adulto 34 Br,buy_it_now,151.0,,151.0,standard,1,True,True,,Presidente Prudente,São Paulo
MLB3571940536,new,Tenis Masculino Olimp Kit 02 Pares Academia Promoção Oferta,buy_it_now,128.61,142.9,128.61,promotion,5000,True,True,0.72,Nova Serrana,Minas Gerais
MLB3472264043,new,Combo 3 Pares Tênis Feminino Academia Confortável Promoção,buy_it_now,165.5,179.9,165.5,promotion,5000,True,True,0.9,Nova Serrana,Minas Gerais
MLB3264650477,new,Tenis Sapatilha Bike Pesca Corrida Academia Neoprene Confort,buy_it_now,53.0,,53.0,standard,250,True,True,0.87,Franca,São Paulo
MLB5069171980,new,Tênis Asics Raiden 4 Masculino Adulto Original,buy_it_now,252.94,459.9,252.94,promotion,50,True,True,1.0,,
MLB3247479197,new,Viseira Esportiva Fitness De Corrida Você Escolhe A Cor,buy_it_now,24.94,,24.94,standard,50,True,True,0.85,Guarulhos,São Paulo
MLB3739730469,new,Tênis On Running Cloudgo Shale,buy_it_now,699.9,,699.9,standard,50,True,True,0.81,São Paulo Zona Norte,São Paulo
MLB2005018319,new,Faixa Elástica De Cabeça Esporte Corrida Futebol Yoga Volei ,buy_it_now,16.75,,16.75,standard,1,True,True,1.0,São José dos Campos,São Paulo
MLB1630949349,new,Tênis Masculino Academia Caminhada Corrida Training Bylbow,buy_it_now,69.43,78.9,69.43,promotion,500,True,True,0.77,,Minas Gerais
MLB2165010910,new,Tênis Feminino Academia Olymp Olimp Space Promoção E Barato,buy_it_now,51.36,78.9,51.36,promotion,100,True,True,0.87,Nova Serrana,Minas Gerais
MLB3867409393,new,Tênis Under Armour Wing Se Feminino Moderno Estiloso,buy_it_now,207.89,329.99,207.89,promotion,100,True,True,0.88,Penápolis,São Paulo
MLB3777944827,new,Tênis Under Armour Tribase Reps 2 Original Treino Academia,buy_it_now,459.99,499.99,459.99,promotion,50,True,True,1.0,Toledo,Paraná
MLB3206231868,new,Faixa Cabelo Suor Headband Corrida Esporte Testa Cabeça Yoga,buy_it_now,22.79,25.9,22.79,promotion,1,True,True,0.85,Rio de Janeiro Zona Oeste,Rio de Janeiro
MLB3847973231,new,Tênis Esportivo Feminino Academia Novo Leve Treino Promoção,buy_it_now,79.9,,79.9,standard,100,True,True,1.0,Nova Serrana,Minas Gerais
MLB3267477309,new,Tênis Masculino Ultrabone Caminhada Academia Black + Relógio,buy_it_now,74.92,99.9,74.92,promotion,100,True,True,0.66,Franca,São Paulo
MLB5173465228,new,Tênis Under Armour Tribase Cross Se Color Preto/azul - Adulto 40 Br,buy_it_now,447.85,687.49,447.85,promotion,1,True,True,,São João da Boa Vista,São Paulo
MLB1857055414,new,Sapatilha Ortopédica Feminino Calce Fácil Caminhada Promoção,buy_it_now,60.03,78.99,60.03,promotion,250,True,True,0.77,Nova Serrana,Minas Gerais
MLB5159884860,new,Tênis Mizuno Running Goya 2,buy_it_now,349.99,,349.99,standard,1,True,True,1.0,Joinville,Santa Catarina
